,Long,Short
1993-01-04,0.004375296569842835,0.0017191113264970915
1993-01-05,0.020696642696317758,0.006689578840150412
1993-01-06,0.00832680137351587,-0.013086116514686252
1993-01-07,0.0020276938197091865,0.0035069079592957688
1993-01-08,-0.0045179482283341345,0.016363905463339046
1993-01-11,0.005236140502081909,0.006461317795393795
1993-01-12,0.014151534101025709,0.0057319085578454
1993-01-13,0.02085199104324307,-0.011437062658818397
1993-01-14,0.01651183231829183,-0.011178881437333177
1993-01-15,0.00748702321852931,0.00443573751288544
1993-01-18,-0.006053098710921479,-0.005057357731574208
1993-01-19,0.0021969135700921627,-0.0024638119886022823
1993-01-20,0.008477746884306702,0.006069254916749933
1993-01-21,0.02679809176526471,-0.004170693593244212
1993-01-22,0.004692474288260018,-0.0008172046666563681
1993-01-25,0.019481629166975677,-0.01728924553604757
1993-01-26,0.006878686587961191,0.007901884712808793
1993-01-27,-0.014424865087406324,0.016164759619555158
1993-01-28,-0.009777777087605067,0.0011317327933358823
1993-01-29,0.015064558335813827,-0.0033771980485020835
1993-02-01,0.015097947436794212,0.001785423394455443
1993-02-02,0.010893376261227671,0.0026217087543806915
1993-02-03,0.018603282524418386,-0.02043919612446483
1993-02-04,0.01236617116979366,0.007592580067792965
1993-02-05,-0.0007850676407699875,0.012745000715332012
1993-02-08,0.0051293571145106355,-0.00035573587777666394
1993-02-09,-0.00843946556038896,0.014872386366975476
1993-02-10,0.03228437649559692,-0.009174184055845202
1993-02-11,0.020531872686979424,0.015708161644365216
1993-02-12,0.0002862653518359348,0.012876009433769996
1993-02-16,-0.03138805095227001,0.013815029936371525
1993-02-17,0.014907763500073456,0.001603712917752942
1993-02-18,0.002359798151017978,0.02534006425319123
1993-02-19,-0.010390056913725932,0.007444945380531987
1993-02-23,0.005144704945031909,0.005284613892258561
1993-02-24,0.035287203004448965,-0.008960659934977888
1993-02-25,-0.0011597267034517468,0.0018560345912080113
1993-02-26,0.010049882847519476,0.004759409057692288
1993-03-01,-0.004344347889793843,0.009094239328433996
1993-03-02,0.012993959537941802,-0.006033486275285616
1993-03-03,0.0043253534256499915,0.009378082174956281
1993-03-04,0.0022259766656156253,0.0040739887849661986
1993-03-05,0.002753101447700934,0.012240537919434335
1993-03-08,0.021267913974464314,-0.011965609592587578
1993-03-09,0.013105326363701476,0.007510239973328214
1993-03-10,0.005427560819171895,-0.00609866436558375
1993-03-11,0.010361316132589737,0.007212997050305825
1993-03-12,0.009425043976773373,-0.003871225476661966
1993-03-15,0.003183681618884182,0.008647520524437046
1993-03-16,-0.004502948590134348,0.0195529036206177
1993-03-17,0.003514264561745406,0.01638931539296542
1993-03-18,0.007936973643016432,0.00021998444375957992
1993-03-19,-0.006377181470526116,0.008881396613232118
1993-03-22,0.013935265167944433,0.001678532814439404
1993-03-23,0.0028140055981480173,-0.00509018211318224
1993-03-24,-0.0009693401301909433,0.007214202036661332
1993-03-25,0.019542849219976222,-0.0003369911036948281
1993-03-26,0.00547033417599454,0.014633910875088441
1993-03-29,0.0133839300791329,0.0006328729196758087
1993-03-30,0.016772321280563905,0.004291732575906137
1993-03-31,0.008441774000168911,-0.0014795522696629982
1993-04-01,0.003525199124955203,0.006831608085086283
1993-04-02,-0.015698190967818604,0.005199171819969451
1993-04-05,0.005622239285823982,0.02598548497551456
1993-04-06,-0.004578634737701171,0.013145089536027221
1993-04-07,0.00890471710703843,0.0031805593500297547
1993-04-08,-0.017497185203834465,0.01190735457298515
1993-04-12,0.010421049033777764,-0.006865017113469096
1993-04-13,-0.0016681294356650444,0.01169737885828498
1993-04-14,0.01365626666802131,0.007211048579010959
1993-04-15,0.006253573528961132,0.01633919770311316
1993-04-16,0.007476276377394042,0.01410082770859875
1993-04-19,0.006942394311743228,0.0035139453357926564
1993-04-20,0.007842215901223526,0.005490084555103003
1993-04-21,0.0006322504443160071,0.0021194985708345437
1993-04-22,-0.011507480620969669,0.01591756862570378
1993-04-23,-0.006555691763536797,0.007304785112810919
1993-04-26,-0.008674198774347264,0.026501067610387397
1993-04-27,0.017286132801724752,-0.00910062668880982
1993-04-28,0.019843626082985656,-0.004420393712745252
1993-04-29,-0.006414476417542603,0.00041258229365178647
1993-04-30,-0.0022118908327217967,0.009855069492490365
1993-05-03,-0.004899587517571735,0.0016374690399271641
1993-05-04,0.00209398535587767,0.0031302195567589064
1993-05-05,0.004073418977569776,-0.005036515611484505
1993-05-06,-0.005441093018257026,0.02010527960497057
1993-05-07,0.00107221922985149,0.004751166308436661
1993-05-10,0.005899494605106759,-0.0009549583623877811
1993-05-11,0.01859351066220537,0.0037399314215848635
1993-05-12,0.010325671020907645,-0.015986493354839593
1993-05-13,-0.004254638869350924,0.024939773691137403
1993-05-14,0.010110078862483118,-0.001106696175549604
1993-05-17,-0.0006828415759954187,0.013231198570842696
1993-05-18,0.01604490977346341,0.0190964606602139
1993-05-19,0.01580814384121586,-0.004619908292636155
1993-05-20,0.008277735364416871,-0.0027454409786747845
1993-05-21,0.010336622363631764,0.015839263299977792
1993-05-24,0.0032101766521710705,-0.0077420959426895645
1993-05-25,-0.00987449066873789,0.0057819115507894425
1993-05-26,0.014443324402981872,-0.020482890932262566
1993-05-27,-0.002800518738605784,0.01123938027676925
1993-05-28,-0.011084329320445752,0.035527812882529264
1993-06-01,0.00951848971007272,0.004713373867258541
1993-06-02,0.012002685301686144,0.00043366953909410586
1993-06-03,-0.0008586202441458468,-0.01098820020253447
1993-06-04,0.0020750890668654763,-0.0049054863250801665
1993-06-07,-0.0018144021242867848,0.020954604526112853
