,Long,Short
1993-01-04,0.002407571718904311,0.0024401667744881174
1993-01-05,-0.0006851903688362305,-0.012394887263931642
1993-01-06,-0.004880224503430519,-0.005745448993050217
1993-01-07,0.0015805184021680518,-0.0051143541832319285
1993-01-08,0.01565495650488822,0.00508329586240176
1993-01-11,0.0011881769834424572,0.010326692831605444
1993-01-12,-0.0007250261768004251,-0.010771076102818678
1993-01-13,0.011948010244999686,-0.007708442506239766
1993-01-14,0.005866498482819371,-0.004829500963125055
1993-01-15,0.008972646162425268,0.0027150068144425887
1993-01-18,-0.002020046839753631,-0.021680583855687895
1993-01-19,0.02072264939837478,0.007409527307840324
1993-01-20,0.004195105864135962,0.010704186144871519
1993-01-21,0.00452848992153706,-0.00332971284382505
1993-01-22,0.026337910647231344,-0.008230223702128114
1993-01-25,0.0030717756541866815,0.010124090660555852
1993-01-26,-0.01057850590668844,0.00864614850585973
1993-01-27,0.006771081899941733,0.01957574661224253
1993-01-28,0.00866483447211006,0.0030782690617518925
1993-01-29,0.026719030388622823,-0.003592513208913695
1993-02-01,0.003683136796182718,0.007041788096079404
1993-02-02,0.00989628934230643,-0.009310516296635263
1993-02-03,-0.0011246410215552728,0.006655931130238213
1993-02-04,-0.0025906396481093054,0.01801273665105153
1993-02-05,0.005424277072025596,0.0037497374151115427
1993-02-08,-0.004504416511317111,0.011319575121298896
1993-02-09,0.020082489291684512,0.005702846084845015
1993-02-10,0.014158395988739182,0.005932878900782567
1993-02-11,0.004542997972183526,0.017179423554293794
1993-02-12,-0.022003774902106688,0.04336696663720195
1993-02-16,0.0007640511062255273,0.0073721289655095616
1993-02-17,0.011695712154569271,0.00460170498923842
1993-02-18,-0.0025431957546385164,-0.011826152821454005
1993-02-19,-0.02337751430211178,0.005890733624898914
1993-02-23,0.04357297773169451,-0.0023344738542436794
1993-02-24,0.004277620113385794,0.0009074553523095274
1993-02-25,0.003704917486607695,0.0015194080461254033
1993-02-26,0.012612275182498389,0.006933859776645401
1993-03-01,0.026883967180231227,-0.00365397112142829
1993-03-02,0.01850844071956901,0.004343484317998458
1993-03-03,-0.0013327049182595752,0.01311706622836335
1993-03-04,0.009270727581643979,0.0108047881348041
1993-03-05,0.015604432794791023,-0.012627750218395562
1993-03-08,0.009402009652959908,0.0112351113783152
1993-03-09,-0.0015792105270194367,0.0045575452234295375
1993-03-10,0.005104943603383161,0.008205787851449386
1993-03-11,-0.009922141892137248,3.519903668464108e-05
1993-03-12,0.017181574455439764,-0.0006258094990418073
1993-03-15,-0.0018976945505986055,0.011414242712943445
1993-03-16,-0.006731966602151318,0.016188189690408007
1993-03-17,0.000994685974802656,-0.007114143603413392
1993-03-18,-0.013017449505171775,-0.0059539440807632625
1993-03-19,0.0029744055331083373,-0.0015852598453744648
1993-03-22,-0.00639050241237984,0.00783391959572538
1993-03-23,-0.0016464962291728002,0.005029996527785496
1993-03-24,0.016683581382381463,-0.009154820867697122
1993-03-25,-0.007707649911249348,0.006438359165048235
1993-03-26,-0.0005796606369051771,-0.007712483372084989
1993-03-29,0.027989517114589624,0.008927994086781698
1993-03-30,0.016501262446525465,0.0010698647319624332
1993-03-31,0.007266507513106491,0.009387190465462825
1993-04-01,-0.060781864864099,0.016196641610577
1993-04-02,0.019183479992623886,0.009589646378019335
1993-04-05,-0.0043591939791246094,-0.0036423977631913295
1993-04-06,0.02209277508731632,-0.0060080405954969105
1993-04-07,-0.013484151770326159,0.008183437124583193
1993-04-08,0.026892355651394594,-0.027192319049144088
1993-04-12,0.010664082174313505,0.008013363825829489
1993-04-13,0.011381393411520202,-0.0015339411597543816
1993-04-14,0.007189812618388547,0.008213043352290861
1993-04-15,0.018404590437803892,-0.006415423947060484
1993-04-16,0.001371180022980012,-0.0064531041579901196
1993-04-19,-0.00800702112257744,0.011499650646124904
1993-04-20,0.003955238825045238,0.0042772783162703274
1993-04-21,0.0034438936727385406,0.009585725982049232
1993-04-22,-0.013516536612201058,0.0056453201248467975
1993-04-23,-0.012763789297807693,0.00931006959290146
1993-04-26,0.013971578621281289,0.0008378036940199562
1993-04-27,0.012882171090085093,-0.011389497086544919
1993-04-28,0.016090274228510247,0.01148737006898246
1993-04-29,0.025716666005417423,0.008182122470813447
1993-04-30,0.014430958525181703,0.0072093050171221805
1993-05-03,-0.0008323541120741962,0.007521415326148917
1993-05-04,0.0037605198909214876,-0.018541057630213263
1993-05-05,-0.002927693062325587,0.011233135153877648
1993-05-06,-0.004769484180933337,-0.008361133679961363
1993-05-07,0.003406735086522916,0.0010986023194064277
1993-05-10,0.007909152427211064,-0.012542146584540415
1993-05-11,0.010216453355793631,-0.025341496812187447
1993-05-12,-0.01303213001988025,0.012719667446738225
1993-05-13,0.00778414715403718,-0.002003135201661532
1993-05-14,0.0008580927633435986,0.0006562165325538327
1993-05-17,0.0033652502437028996,-0.027039712643597547
1993-05-18,0.01646750100218921,-0.008968480306528992
1993-05-19,0.000536488737521923,-0.00302117872133425
1993-05-20,0.0024053076227009583,0.01715101095418371
1993-05-21,0.019581532211664587,-0.008174847382462968
1993-05-24,0.009054416716815117,0.020798308618533247
1993-05-25,0.0066680899710561455,-0.03659219432090928
1993-05-26,-0.005222688703375533,-1.0842970141711206e-05
1993-05-27,-0.0029370830653262627,0.027743817063782417
1993-05-28,0.0035325543347424658,-0.0070227085298070644
1993-06-01,0.009688475856169032,-0.003757470506166205
1993-06-02,-0.006950912521558506,-0.009143486474841245
1993-06-03,-0.00594615847888017,-0.012209333649486287
1993-06-04,-0.006355140513308821,0.015221791855027223
